time,latitude,longitude,depth,mag
2004-01-01T04:39:12.150Z,-21.476,169.859,10,5.5
2004-01-01T20:59:31.910Z,-8.31,115.788,44.5,5.8
2004-01-03T08:07:34.220Z,-22.376,169.728,10,6
2004-01-03T08:09:03.810Z,-22.163,169.55,10,6.1
2004-01-03T08:13:10.420Z,-22.323,169.641,10,5.8
2004-01-03T08:21:48.400Z,-22.324,169.616,10,6.4
2004-01-03T09:45:19.360Z,-22.3,169.535,10,5.5
2004-01-03T16:23:21.020Z,-22.253,169.683,22,7.1
2004-01-03T16:34:28.050Z,-22.438,169.919,10,6.1
2004-01-03T16:38:29.460Z,-22.154,169.869,10,5.6
2004-01-05T06:53:48.440Z,-3.589,151.016,63.5,5.6
2004-01-07T18:45:41.120Z,20.053,122.185,42.3,5.6
2004-01-08T23:05:56.560Z,-5.996,149.301,59.3,5.8
2004-01-09T22:35:31.190Z,-6.072,149.401,57.7,6.3
2004-01-11T19:31:32.820Z,55.595,165.677,21,5.5
2004-01-12T17:17:00.800Z,-21.997,170.246,10,5.8
2004-01-15T06:48:57.060Z,-6.083,149.684,58.9,5.6
2004-01-15T07:26:53.010Z,-3.528,151.064,10,6.2
2004-01-16T15:42:25.060Z,-0.398,132.091,36.2,5.6
2004-01-28T10:10:26.880Z,-5.612,151.801,47.9,5.5
2004-01-28T19:05:39.380Z,-1.682,138.984,15.1,5.7
2004-01-28T22:15:30.700Z,-3.12,127.4,17.4,6.7
2004-01-31T14:49:06.470Z,30.052,142.434,10,5.5
2004-02-03T23:09:31.630Z,-3.728,140.376,46.1,5.9
2004-02-05T21:05:02.840Z,-3.615,135.538,16.6,7
2004-02-05T21:24:18.740Z,-3.658,135.364,37.1,5.9
2004-02-06T00:47:09.720Z,-1.386,136.779,3.5,5.6
2004-02-07T02:42:35.210Z,-4.003,135.023,10,7.3
2004-02-07T21:27:37.670Z,-4.071,133.958,10,5.6
2004-02-08T08:58:51.800Z,-3.665,135.339,25.7,6.7
2004-02-11T05:08:20.570Z,-3.526,135.581,32.4,5.7
2004-02-11T05:28:25.940Z,-3.627,135.561,22.7,5.7
2004-02-17T07:46:27.260Z,43.144,145.816,40.3,5.5
2004-02-20T05:58:45.190Z,-11.608,166.45,84,6
2004-02-25T08:56:06.500Z,54.615,162.814,19.6,5.5
2004-02-26T17:25:56.190Z,8.288,123.515,12,5.5
2004-03-05T00:49:33.460Z,-3.414,145.35,17.4,5.6
2004-03-06T06:26:42.130Z,-5.112,152.588,44.7,5.5
2004-03-09T05:56:32.560Z,-2.131,125.106,29.6,5.6
2004-03-15T04:19:41.090Z,2.07,126.695,58.5,5.5
2004-03-17T06:16:34.010Z,11.155,124.708,73.2,5.5
2004-03-20T08:53:15.110Z,53.829,160.468,52.5,5.6
2004-03-23T21:20:39.670Z,18.774,144.735,27.1,5.5
2004-03-23T21:57:07.480Z,18.788,144.764,29.6,5.7
2004-03-24T01:53:49.430Z,45.382,118.256,18.8,5.5
2004-03-26T15:20:06.620Z,41.863,144.209,22.4,5.8
2004-03-27T06:19:36.890Z,-6.256,154.76,48.1,5.9
2004-04-02T15:41:30.430Z,-0.01,124.932,24.6,5.6
2004-04-03T23:02:00.870Z,36.428,141.008,31,6
2004-04-10T07:35:24.400Z,8.044,137.215,40.9,5.8
2004-04-11T07:37:29.850Z,-3.729,140.081,20,6.2
2004-04-11T18:06:12.480Z,42.918,144.836,41.8,6.1
2004-04-13T03:51:58.850Z,-22.485,169.716,10,5.5
2004-04-14T01:54:09.220Z,55.226,162.659,51.3,6.2
2004-04-15T20:06:55.300Z,-19.374,169.631,10,6.3
2004-04-15T20:20:14.810Z,-19.371,169.549,10,5.7
2004-04-16T08:27:29.340Z,-10.764,164.183,10.6,5.7
2004-04-16T18:32:24.010Z,-8.669,114.65,95.5,5.5
2004-04-17T07:48:08.360Z,-10.893,165.919,61.9,5.6
2004-04-17T15:58:24.610Z,-7.352,128.373,128.6,5.8
2004-04-22T10:11:12.660Z,-17.587,167.888,10,6
2004-04-22T10:15:12.080Z,-17.628,167.964,24.7,5.7
2004-04-22T14:16:07.000Z,-3.355,146.853,35,6
2004-04-23T01:50:30.220Z,-9.362,122.839,65.8,6.7
2004-04-25T02:19:21.690Z,-21.779,169.576,10,5.8
2004-04-27T23:28:18.880Z,-17.757,167.756,10,6
2004-05-06T13:43:12.890Z,42.525,145.021,28.6,5.5
2004-05-07T01:26:42.200Z,-21.988,170.276,14,6.3
2004-05-08T08:02:54.220Z,21.949,121.604,26.4,5.6
2004-05-13T09:58:43.450Z,-3.584,150.73,10,6.4
2004-05-13T17:34:36.270Z,11.743,144.247,24,5.8
2004-05-14T06:51:59.880Z,-11.914,166.246,20,5.5
2004-05-16T06:04:12.760Z,23.095,121.814,34.5,5.6
2004-05-16T10:32:10.610Z,-11.797,165.778,10,5.6
2004-05-16T10:55:49.760Z,-11.914,166.338,10,5.8
2004-05-16T10:58:38.580Z,-11.963,166.345,10,5.9
2004-05-16T11:01:14.520Z,7.63,126.166,11.8,5.8
2004-05-19T07:04:11.710Z,22.662,121.505,20,6.2
2004-05-27T10:10:36.280Z,6.591,126.411,62.9,5.7
2004-05-29T03:47:10.770Z,37.752,141.881,29.3,5.8
2004-05-29T20:56:09.600Z,34.251,141.406,16,6.5
2004-06-08T10:54:30.420Z,-15.237,167.519,115.7,5.5
2004-06-10T18:12:09.290Z,42.395,142.958,49.9,5.8
2004-06-25T02:35:07.790Z,-6.711,130.375,70.5,6.1
2004-06-29T11:40:17.060Z,-0.665,123.36,10,5.5
2004-06-30T23:37:25.450Z,0.797,124.726,90.8,6.3
2004-07-01T19:28:45.290Z,-5.91,148.662,56.9,5.6
2004-07-07T21:29:23.290Z,-17.431,168.21,10,5.8
2004-07-08T10:30:49.160Z,47.198,151.303,128.5,6.4
2004-07-17T06:10:18.070Z,34.746,140.218,46.1,5.6
2004-07-20T03:40:24.110Z,-20.317,169.372,37,5.8
2004-07-20T14:16:23.520Z,19.639,146.808,13.4,5.9
2004-07-22T09:45:14.900Z,26.489,128.894,20.9,6.1
2004-07-24T18:54:58.270Z,26.488,128.754,30.8,5.5
2004-07-28T03:56:28.600Z,-0.443,133.091,13.4,6.5
2004-07-28T04:01:59.900Z,-0.328,133.061,10,5.5
2004-07-28T10:23:28.950Z,-10.308,161.168,56.1,5.7
2004-07-29T22:21:41.820Z,-4.093,143.036,56.2,5.7
2004-08-04T21:15:15.560Z,52.315,159.563,36.4,5.6
2004-08-05T01:46:50.090Z,13.965,146.366,46.1,5.5
2004-08-10T05:37:06.310Z,-3.162,150.294,19,5.5
2004-08-10T06:13:33.240Z,39.633,141.956,69.7,5.7
2004-08-19T06:35:03.980Z,13.817,123.995,44.2,5.5
2004-08-21T11:33:40.510Z,-22.038,169.377,10,5.5
2004-08-28T16:09:35.170Z,-8.82,157.354,13.5,5.6
2004-08-28T16:13:14.300Z,-8.66,157.239,10,5.6
2004-08-28T17:00:58.250Z,-8.689,157.253,10,5.7
2004-08-30T12:23:21.600Z,49.539,157.279,11.5,5.7
2004-08-31T16:25:10.320Z,7.291,126.957,10,5.7
2004-09-01T02:49:28.610Z,36.959,141.607,34.9,5.7
2004-09-04T23:56:35.550Z,-21.015,169.278,10,5.9
2004-09-05T10:07:07.820Z,33.07,136.618,14,7.2
2004-09-05T14:57:18.610Z,33.184,137.071,10,7.4
2004-09-05T20:30:59.810Z,33.247,136.804,10,5.7
2004-09-06T15:31:37.290Z,9.134,126.328,47.9,5.5
2004-09-06T23:29:35.090Z,33.205,137.227,10,6.6
2004-09-07T18:36:20.270Z,33.237,137.092,10,5.6
2004-09-08T14:58:25.830Z,33.14,137.2,21.2,6.1
2004-09-10T02:05:57.830Z,33.059,136.497,10,5.6
2004-09-13T03:00:12.850Z,43.998,151.408,8,6.1
2004-09-14T20:15:16.870Z,7.959,127.466,15.3,5.5
2004-09-15T19:10:50.600Z,14.22,120.411,115.4,6
2004-09-15T19:45:42.070Z,5.885,125.277,82.2,5.5
2004-09-19T22:59:54.360Z,-12.925,166.793,114.7,5.5
2004-10-01T09:40:26.670Z,3.615,128.386,10,5.6
2004-10-04T19:20:34.980Z,14.546,146.993,7.2,6
2004-10-06T14:40:39.920Z,35.95,139.919,64,5.8
2004-10-06T22:30:56.950Z,-0.67,134.426,10,6.2
2004-10-08T08:27:53.540Z,-10.951,162.161,36,6.8
2004-10-08T14:36:06.110Z,13.925,120.534,105,6.5
2004-10-10T06:52:39.800Z,-6.689,130.435,69,5.5
2004-10-11T06:37:13.320Z,5.389,126.437,30.5,5.8
2004-10-11T18:14:19.460Z,-17.224,167.803,25,5.9
2004-10-13T20:35:41.050Z,-6.066,130.528,89.9,5.8
2004-10-15T04:08:50.240Z,24.53,122.694,94,6.7
2004-10-16T18:54:43.560Z,36.237,141.305,47,5.8
2004-10-20T18:32:24.570Z,-14.027,166.612,59.8,6.1
2004-10-23T05:11:47.800Z,-8.174,124.812,25.1,5.6
2004-10-23T08:56:00.860Z,37.226,138.779,16,6.6
2004-10-23T08:59:37.350Z,37.268,138.866,10,5.7
2004-10-23T09:03:12.530Z,37.318,138.816,10.5,6.1
2004-10-23T09:11:57.420Z,37.239,138.608,18,5.8
2004-10-23T09:34:04.990Z,37.318,138.808,10,6.3
2004-10-23T09:57:26.420Z,37.193,138.745,10,5.6
2004-10-23T10:36:45.810Z,37.225,138.64,10,5.7
2004-10-23T10:45:57.000Z,37.305,138.655,10,5.7
2004-10-24T13:31:15.510Z,-6.567,130.218,89.9,5.5
2004-10-24T21:04:57.060Z,37.308,138.701,11,5.7
2004-10-25T01:51:02.100Z,-8.861,124.343,99.5,5.5
2004-10-26T07:24:18.810Z,-9.687,160.616,115.9,5.5
2004-10-27T01:40:50.260Z,37.284,138.885,14.1,6
2004-10-29T19:28:57.520Z,15.643,119.11,21.2,5.5
2004-10-30T13:26:50.110Z,-15.473,168.082,10,5.7
2004-11-02T08:45:56.280Z,28.702,143.214,10,5.7
2004-11-03T08:31:43.730Z,14.474,146.842,10,6
2004-11-04T14:03:11.670Z,43.62,146.812,61.8,5.9
2004-11-05T05:18:35.050Z,-4.361,143.925,125.7,6
2004-11-08T02:15:58.840Z,37.396,138.862,10,5.5
2004-11-08T15:07:24.500Z,33.721,138.403,10,5.6
2004-11-08T15:55:01.150Z,24.104,122.542,29,6.3
2004-11-09T22:14:37.630Z,11.619,140.695,54.9,5.5
2004-11-09T23:58:23.650Z,-11.15,163.706,13,6.9
2004-11-11T02:16:45.290Z,24.41,122.226,49.9,5.7
2004-11-11T10:02:47.330Z,42.139,144.344,32.8,6.1
2004-11-11T17:33:07.330Z,-11.266,162.123,10,5.9
2004-11-11T17:34:52.050Z,-11.128,162.208,10,6.7
2004-11-11T17:39:06.270Z,-11.109,161.915,10,5.5
2004-11-11T21:26:41.150Z,-8.152,124.868,10,7.5
2004-11-11T21:36:49.680Z,-7.952,125.23,10,5.5
2004-11-11T22:07:04.420Z,-7.964,125.384,10,5.5
2004-11-11T22:49:48.140Z,-8.255,124.93,10,6.4
2004-11-12T11:31:50.890Z,-11.156,162.284,10,5.8
2004-11-13T00:24:18.970Z,-10.251,164.657,10,5.9
2004-11-13T09:59:33.390Z,-11.002,163.621,24.6,5.6
2004-11-14T18:44:14.220Z,41.715,144.049,25,5.5
2004-11-16T10:06:54.500Z,-5.627,151.452,55.7,6.1
2004-11-20T02:32:44.160Z,-3.405,126.186,21.8,5.5
2004-11-26T02:25:03.310Z,-3.609,135.404,10,7.1
2004-11-26T08:01:11.690Z,-3.5,135.343,10,5.9
2004-11-26T15:29:01.970Z,-3.595,135.358,10,5.5
2004-11-26T22:42:37.320Z,42.377,142.899,58,5.7
2004-11-27T09:48:59.250Z,-3.619,135.432,10,5.8
2004-11-28T07:36:45.400Z,-3.638,135.445,23.1,6.2
2004-11-28T18:32:14.130Z,43.006,145.119,39,7
2004-11-28T18:36:41.830Z,42.984,145.083,39.5,5.9
2004-12-01T23:17:21.560Z,-3.665,135.528,10,5.6
2004-12-02T03:32:21.990Z,-3.375,135.413,10,5.6
2004-12-02T03:45:33.340Z,-3.351,135.452,10,5.7
2004-12-06T14:15:11.890Z,42.9,145.228,35,6.8
2004-12-10T00:53:54.990Z,-18.928,169.015,137.5,5.8
2004-12-10T09:42:34.390Z,10.874,141.781,32.2,5.5
2004-12-12T16:03:37.560Z,-3.489,145.196,14,5.5
2004-12-13T12:00:12.420Z,-8.059,125.068,10,5.5
2004-12-14T05:56:10.040Z,44.119,141.793,10,5.8
2004-12-18T06:46:19.870Z,48.837,156.309,11,6.2
2004-12-18T08:50:06.110Z,48.772,156.174,10,5.6
2004-12-21T15:34:28.130Z,42.955,145.414,37.4,5.6
2004-12-26T19:15:18.320Z,-1.527,138.766,30,5.7
2004-12-26T20:50:34.770Z,6.318,126.92,127.3,5.5
2004-12-27T03:04:34.150Z,-4.198,152.796,25.8,5.6
2004-12-29T13:20:29.280Z,28.919,130.444,38,5.7
2004-12-29T13:58:50.260Z,38.455,142.018,44.5,5.7
2005-01-06T01:04:22.390Z,1.414,125.768,35,5.5
2005-01-13T00:07:22.100Z,6.041,126.297,45.3,5.5
2005-01-14T08:33:14.460Z,-4.238,152.717,10,6.1
2005-01-16T20:17:52.760Z,10.934,140.842,24.9,6.6
2005-01-17T10:50:32.560Z,10.986,140.682,12,6.1
2005-01-18T14:09:06.220Z,42.946,144.866,42,6.3
2005-01-19T06:11:36.400Z,34.064,141.491,27.8,6.6
2005-01-21T12:45:31.520Z,34.021,141.553,10,5.7
2005-01-21T17:58:56.410Z,34.003,141.367,10,5.8
2005-01-22T20:30:17.350Z,-7.727,159.475,29,6.4
2005-01-23T01:03:55.450Z,-5.849,151.582,25.2,5.5
2005-01-23T20:10:12.150Z,-1.198,119.933,11,6.3
2005-01-26T17:49:56.780Z,-6.764,129.568,33.9,5.6
2005-02-01T17:40:49.160Z,-6.498,154.532,63.1,5.5
2005-02-02T06:28:36.670Z,-7.476,145.044,26.1,5.6
2005-02-05T03:34:25.730Z,16.011,145.867,142.7,6.6
2005-02-07T20:02:17.690Z,-4.525,153.187,36.5,6.1
2005-02-09T18:46:09.970Z,26.088,143.997,24,6.3
2005-02-09T20:59:52.190Z,13.686,120.791,102.4,5.5
2005-02-10T16:53:19.990Z,-23.097,169.219,9,6.3
2005-02-15T14:42:25.850Z,4.756,126.421,39.7,6.5
2005-02-15T19:46:35.880Z,35.982,139.686,46.2,5.5
2005-02-17T06:12:16.480Z,-5.812,150.481,36.6,5.5
2005-02-19T00:04:43.590Z,-5.562,122.129,10,6.5
2005-02-20T12:14:51.810Z,-4.694,153.108,46.6,5.5
2005-02-22T03:20:07.310Z,12.582,123.177,17.8,5.8
2005-02-23T11:33:52.900Z,-6.245,150.66,10,6
2005-02-23T12:12:43.380Z,-6.268,150.692,10,5.6
2005-02-26T12:37:40.690Z,40.731,142.376,68,5.7
2005-03-04T19:05:19.890Z,2.67,126.407,59.1,5.9
2005-03-05T19:06:51.460Z,24.637,121.935,3.5,5.7
2005-03-05T19:08:01.670Z,24.722,121.918,10,5.7
2005-03-06T01:39:06.870Z,-11.062,163.207,10,5.9
2005-03-06T04:39:59.430Z,-11.045,163.045,10,6.1
2005-03-06T14:59:22.780Z,-11.046,162.859,10,5.6
2005-03-11T18:47:36.690Z,43.085,144.674,54.1,5.5
2005-03-20T01:53:41.830Z,33.807,130.131,10,6.6
2005-03-20T17:15:03.990Z,-7.945,124.825,28.1,5.8
2005-03-26T15:40:34.530Z,-4.894,129.938,10,6.1
2005-03-30T12:00:34.540Z,-10.246,161.315,79.6,5.7
2005-04-03T01:41:32.750Z,13.559,120.801,129.2,5.6
2005-04-07T19:43:14.920Z,2.966,126.48,59.7,5.9
2005-04-08T11:38:17.470Z,-23.144,169.265,10,6.1
2005-04-10T22:22:15.710Z,35.604,140.401,43,5.9
2005-04-11T12:20:05.960Z,-3.484,145.909,11.4,6.6
2005-04-11T17:08:53.940Z,-21.975,170.612,68,6.7
2005-04-19T21:11:28.420Z,33.637,130.179,18.7,5.5
2005-05-09T08:12:45.750Z,-19.987,168.852,44.7,5.5
2005-05-12T20:52:03.340Z,-7.501,156.113,10,5.7
